Sample,Sp_fin,Collection_date,Lat,Long,Extraction,Re_extract,SPID_PCR_1,Band_1,SPID_PCR_2,Band_2,SPID_PCR_3,Band_3,Clean_1,Plate_used1,Well_source1,Sequence_1,Well_1,Sp_call1,Seq_Comp,Plate_used2,Well_source2,Sequence_2,Well_2,Sp_call2
F16-018,Gf,,,,20160812,,20160826,Yes,,,,,,20160826,2F,20170120,F02,Gf,Yes,,,,,
F16-019b,Gf,,,,,,20170127,Yes,,,,,,20170127A,F1,20170130,F1,Gf,Yes,,,,,
F16-020,Gf,,,,20160812,,20160826,Yes,,,,,,20160826,1H,20170120,F03,Gf,Yes,,,,,
F16-021,Cy,,,,20160812,,20160826,Yes,,,,,,20160826,3A,20170120,G01,Cy,Yes,,,,,
F16-022,Gf,,,,20160812,,20160826,Yes,20170127,Yes,20170202,Yes,,20160826,3B,20170120_Fail,G02,Fail,Yes,20170127A,G1,20170130,G1,Gf
F16-023,Gf,,,,20160812,,20160826,Yes,20161110,Yes,,,,201161110A,1H,20170120,G03,Gf,Yes,,,,,
F16-024,Gf,,,,20160812,,20160826,Yes,,,,,,20160826,3D,20170120,H01,Gf,Yes,,,,,
F16-025,Cy,,,,20160509,,20160519,Yes,20161110,Yes,,,,201161110A,3A,20170120,H02,Cy,Yes,,,,,
F16-026,Gf,,,,20160812,,20160826,Yes,20170127,Yes,,,,20160826,3E,20170120,H03,Miss-Hu,Yes,20170127A,H1,20170130,H1,Gf
F16-027,Cy,,,,20160812,,20160826,Yes,,,,,,20160826,3F,20170120,A04,Cy,Yes,,,,,
F16-028,Miss-Dg,,,,20160819,,20160826,Yes,,,,,,20160826,3G,20170120,A05,Miss-Dg,Yes,,,,,
F16-029b,Miss-Dg,,,,,,20170127,Yes,,,,,,20170127C,A3,20170130,A2,Miss-Dg,Yes,,,,,
F16-030b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,B1,20170207,E8,Gf
F16-031b,,,,,20170205,,2170205,No,,,,,,,,,,,No,,,,,
F16-032,Gf,,,,20160819,,20160826,No,20170127,Yes,,,,201161110A,3D,20170120,B05,Miss-Hu,Yes,20170127A,C3,20170130,C2,Gf
F16-033,Gf,,,,20160819,,20160826,Yes,,,,,,20160826,5A,20170120,B06,Gf,Yes,,,,,
F16-034,Gf,,,,20160819,,20160826,Yes,,,,,,20160826,5E,20170120,C04,Gf,Yes,,,,,
F16-035b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,D1,20170207,F8,Gf
F16-036,Gf,,,,20160819,,20161021,Yes,20170127,Yes,,,,20161021_JK,1A,20170120_Fail,C06,Fail,Yes,20170127A,E3,20170130,E2,Gf
F16-037,Gf,,,,20160819,,20161021,Yes,20170127,Yes,,,,20161021_JK,1B,20170120,D04,Gf,Yes,,,,,
F16-038,Gf,,,,20160819,,20161021,Yes,20161110,No,,,,201161110A,3F,20170120,D05,Gf,Yes,,,,,
F16-039,Miss-Sk,,,,20160819,,20161021,Yes,,,,,,20161021_JK,1D,20170120,D06,Miss-Sk,Yes,,,,,
F16-040,Gf,,,,20160819,,20161021,Yes,,,,,,20161021_JK,1E,20170120,E04,Gf,Yes,,,,,
F16-041,Gf,,,,20160819,,20161021,Yes,20170127,Yes,20170202,Yes,,20161021_JK,1F,20170120_Fail,E05,Fail,No,20170202A,C1,20170207,A5,Gf
F16-042,Gf,,,,20160819,,20161021,Yes,,,,,,20161021_JK,1G,20170120,E06,Gf,Yes,,,,,
F16-043,Gf,,,,20160819,,20161021,Yes,,,,,,20161021_JK,1H,20170120,F04,Gf,Yes,,,,,
F16-044,Gf,,,,20160819,,20161021,Yes,,,,,,20161021_JK,3A,20170120,F05,Gf,Yes,,,,,
F16-045,Gf,,,,20160819,,20161021,Yes,20170127,Yes,,,,20161021_JK,3B,20170120_Fail,F06,Fail,Yes,20170127A,G3,20170130,G2,Gf
F16-046,Gf,,,,20160819,,20161021,Yes,,,,,,20161021_JK,4C,20170120,G04,Gf,Yes,,,,,
F16-047b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,E1,20170207,G8,Gf
F16-048,Gf,,,,20160819,,20161021,Yes,20161110,Yes,,,,201161110A,3G,20170120,G06,Gf,Yes,,,,,
F16-049,Gf,,,,20160819,,20161021,Yes,20161110,Yes,,,,201161110A,3H,20170120,H04,Gf,Yes,,,,,
F16-050,Gf,,,,20160819,,20161021,No,20170127,No,,,,20161021_JK,3G?,20170120,H05,Gf,Yes,,,,,
F16-051,Fail,,,,20160819,,20161021,Yes,20170127,No,Needed,,,20161021_JK,4H,20170120_Fail,H06,Fail,No,,,,,
F16-060,Cy,,,,20160819,,20161021,Yes,20170127,Yes,20170202,Yes,,20161021_JK,5A,20170120_Fail,A07,Fail,No,20170202A,E1,20170207,B2,Cy
F16-061b,Fail,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,F1,20170207,H8,Fail
F16-062,Cy,,,,20160819,,20161021,Yes,20170127,Yes,20170202,Yes,,20161021_JK,5C,20170120_Fail,A09,Fail,No,20170202A,F1,20170207,C5,Cy
F16-063,Gf,,,,20160819,,20161021,Yes,,,,,,20161021_JK,5D,20170120,B07,Gf,Yes,,,,,
F16-064,Gf,,,,20160916,,20161021,Yes,,,,,,20161021_JK,5E,20170120,B08,Gf,Yes,,,,,
F16-065,Cy,,,,20160916,,20161021,Yes,,,,,,20161021_JK,5F,20170120,B09,Cy,Yes,,,,,
F16-066,Gf,,,,20160916,,20161021,Yes,,,,,,20161021_JK,5G,20170120,C07,Gf,Yes,,,,,
F16-067,Gf,,,,20160916,,20161021,Yes,20161110,Yes,,,,201161110A,5A,20170120,C08,Gf,Yes,,,,,
F16-068,Gf,,,,20160916,,20161021,Yes,,,,,,20161021_KM,1B,20170120,C09,Gf,Yes,,,,,
F16-069b,Cy,,,,,,20170127,Yes,20170202,Yes,,,,20170127C,B4,20170130,B3,Fail,No,20170202A,G1,20170207,D5,Cy
F16-070,Gf,,,,20160927,,20161021,Yes,,,,,,20161021_KM,1D,20170120,D07,Gf,Yes,,,,,
F16-071,Gf,,,,20160927,,20161021,Yes,20170127,Yes,20170202,Yes,,20161021_KM,2E,20170120_Fail,D08,Fail,No,20170202A,H1,20170207,E5,Gf
F16-072b,Cy,,,,,,20170127,Yes,,,,,,,,,,,No,20170127C,C4,20170207,G4,Cy
F16-073,Gf,,,,20160927,,20161021,Yes,,,,,,20161021_KM,1G,20170120,D09,Gf,Yes,,,,,
F16-074,Gf,,,,20160927,,20161021,Yes,,,,,,20161021_KM,1H,20170120,E07,Gf,Yes,,,,,
F16-075,Gf,,,,20160927,,20161021,Yes,20170127,Yes,20170202,Yes,,20161021_KM,3A,20170120_Fail,E08,Fail,No,20170202A,A4,20170207,F5,Gf
F16-076,Gf,,,,20160927,,20161021,Yes,20161110,Yes,,,,201161110A,5B,20170120,E09,Gf,Yes,,,,,
F16-077,Gf,,,,20160927,,20161021,Yes,20161110,Yes,,,,201161110A,5C,20170120,F07,Gf,Yes,,,,,
F16-078,Gf,,,,20160927,,20161021,Yes,20161110,Yes,,Yes,,201161110A,5D,20170120_Fail,F08,Fail,Yes,20170127A,H5,20170130,E3,Gf
F16-079b,Gf,,,,,,20170127,Yes,,,,,,20170127C,D4,20170130,F3,Gf,Yes,,,,,
F16-080b,Gf,,,,,,20170127,Yes,,,,,,20170127C,E3,20170130,G3,Gf,Yes,,,,,
F16-081,Gf,,,,20160930,,20161021,Yes,20161110,Yes,,,,201161110A,5E,20170120,F09,Gf,Yes,,,,,
F16-082,Gf,,,,20160930,,20161021,Yes,20161110,Yes,,,,201161110A,6F,20170120,G07,Gf,Yes,,,,,
F16-083,Cy,,,,20160930,,20161021,Yes,20170127,Yes,,,,20161021_KM,5A,20170120_Fail,G08,Fail,Yes,20170127A,A7,20170130,H3,Cy
F16-084b,Cy,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,G,20170207,A9,Cy
F16-085,Cy,,,,20160930,,20161021,Yes,,,,,,20161021_KM,5C,20170120,H07,Cy,Yes,,,,,
F16-086,Gf,,,,20160930,,20161021,Yes,,,,,,20161021_KM,5D,20170120,H08,Gf,Yes,,,,,
F16-087,Gf,,,,20160930,,20161021,Yes,,,,,,20161021_KM,5E,20170120,H09,Gf,Yes,,,,,
F16-088,Gf,,,,20160930,,20161021,Yes,,,,,,20161021_KM,5F,20170120,A10,Gf,Yes,,,,,
F16-089,Gf,,,,20160930,,20161021,Yes,,,,,,20161021_KM,5G,20170120,A11,Gf,Yes,,,,,
F16-090b,Fail,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,H1,20170207,B9,Fail
F16-091b,,,,,20170205,,2170205,No,,,,,,,,,,,No,,,,,
F16-092,Gf,,,,20161007,,20161024,Yes,20170127,Yes,20170202,Yes,,20161024,1C,20170120_Fail,B10,Fail,No,20170202A,D4,20170207,G5,Gf
F16-093,Gf,,,,20161007,,20161024,Yes,,,,,,20161024,1D,20170120,B11,Gf,Yes,,,,,
F16-094,Gf,,,,20161007,,20161024,Yes,,,,,,20161024,1E,20170120,B12,Gf,Yes,,,,,
F16-095,Gf,,,,20161007,,20161024,Yes,,,,,,20161024,1F,20170120,C10,Gf,Yes,,,,,
F16-096,Gf,,,,20161007,,20161024,Yes,20170127,Yes,20170202,Yes,,20161024,1G,20170120_Fail,C11,Fail,No,20170202A,E4,20170207,H5,Gf
F16-097,Cy,,,,20161007,,20161024,Yes,,,,,,20161024,1H,20170120,C12,Cy,Yes,,,,,
F16-098,Cy,,,,20161007,,20161024,Yes,,,,,,20161024,3A,20170120,D10,Cy,Yes,,,,,
F16-099,Cy,,,,20161007,,20161024,Yes,,,,,,20161024,3B,20170120,D11,Cy,Yes,,,,,
F16-100,Gf,,,,20161007,,20161024,Yes,,,,,,20161024,3C,20170120,D12,Gf,Yes,,,,,
F16-101,Cy,,,,20161007,,20161024,Yes,20170127,Yes,,,,20161024,3D,20170120_Fail,E10,Fail,Yes,20170127A,F7,20170130,D4,Cy
F16-102,Miss-Wb,,,,20161007,,20161024,No,20161110,Yes,20170127,Yes,,20170127A,G7,20170130,E4,Wb,No,,,,,
F16-103,Cy,,,,20161007,,20161024,Yes,20170127,Yes,,,,20161024,3F,20170120,E11,Cy,Yes,,,,,
F16-104,Gf,,,,20161007,,20161024,No,20161110,No,20170127,Yes,,201161110A,7A,20170120_Fail,E12,Fail,Yes,20170127A,H7,20170130,F4,Gf
F16-105,Gf,,,,20161007,,20161024,Yes,,,20170202,Yes,,20161024,3H,20170120_Fail,F10,Fail,No,20170202A,F4,20170207,A6,Gf
F16-106,Gf,,,,20161007,,20161024,No,20161110,Yes,20170127,Yes,,201161110A,7C,20170120,F11,Gf,Yes,201161110A,C7,20170130,G4,Gf
F16-107,Gf,,,,20161007,,20161024,Yes,,,,,,20161024,5B,20170120,F12,Gf,Yes,,,,,
F16-108,Cy,,,,20161007,,20161024,Yes,,,,,,20161024,5C,20170120,G10,Cy,Yes,,,,,
F16-109,Cy,,,,20161007,,20161024,No,20161110,Yes,,,,201161110A,7D,20170120,G11,Cy,Yes,201161110A,D7,20170130,H4,Cy
F16-110,Cy,,,,20161007,,20161024,No,20161110,Yes,,,,201161110A,7E,20170120,G12,Cy,Yes,201161110A,E7,20170130,A5,Cy
F16-111b,,,,,20170205,,2170205,No,,,,,,,,,,,No,,,,,
F16-112b,Mixed,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,C3,20170207,C9,Mixed
F16-113b,Mixed-Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,D3,20170207,D9,Mixed-Gf
F16-114,Cy,,,,20161014,,20161024,No,20161110,No,20170127,Yes,,20161110A,9A,20170120,A01,Cy,Yes,,,,,
F16-115,Gf,,,,20161014,,20161024,No,20170127,No,20170202,Yes,,20161110A,10B,20170120,A02,Miss-Hu,No,20170202A,G3,20170207,B6,Gf
F16-116,Cy,,,,20161014,,20161024,Yes,20161110,Yes,,,,20161110A,9C,20170120,A03,Cy,Yes,,,,,
F16-117b,Mixed,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,E4,20170207,E9,Mixed
F16-118b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,F3,20170207,F9,Gf
F16-119b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,G3,20170207,G9,Gf
F16-120,Gf,,,,20161014,,20161024,No,20161110,No,20170127,Yes,,20161110A,9G,20170120,B01,Gf,Yes,,,,,
F16-121,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,7H,20170120,B02,Gf,Yes,,,,,
F16-122,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,9A,20170120,B03,Gf,Yes,,,,,
F16-123,Fail,,,,20161014,,20161024,No,20170127,No,20170202,Yes,,,,,,,No,20170202A,D5,20170207,C6,Fail
F16-124,Gf,,,,20161014,,20161024,Yes,20170127,Yes,,,,20161024,9C,20170120,C01,Gf,Yes,,,,,
F16-125b,Gf,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,H3,20170207,H9,Gf
F16-126,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,9E,20170120,C02,Gf,Yes,,,,,
F16-127,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,9F,20170120,C03,Gf,Yes,,,,,
F16-128,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,9G,20170120,D01,Gf,Yes,,,,,
F16-129,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,9H,20170120,D02,Gf,Yes,,,,,
F16-132,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,11A,20170120,D03,Gf,Yes,,,,,
F16-133,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,11B,20170120,E01,Gf,Yes,,,,,
F16-134,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,11C,20170120,E02,Gf,Yes,,,,,
F16-135,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,11D,20170120,E03,Gf,Yes,,,,,
F16-136,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,11E,20170120,F01,Gf,Yes,,,,,
F16-137,Cy,,,,20161014,,20161024,Yes,,,,,,20161024,11F,20170120,F02,Cy,Yes,,,,,
F16-138,Gf,,,,20161014,,20161024,Yes,,,,,,20161024,11G,20170120,F03,Gf,Yes,,,,,
F16-139,Gf,,,,20161014,,20161107,Yes,,,,,,20161107A,1A,20170120,G01,Gf,Yes,,,,,
F16-140,Gf,,,,20161025,,20161107,Yes,20170127,Yes,,,,20161107A,1B,20170120_Fail,G02,Fail,Yes,20170127A,G9,20170130,E5,Gf
F16-141,Gf,,,,20161025,,20161107,Yes,,,,,,20161107A,1C,20170120,G03,Gf,Yes,,,,,
F16-142,Cy,,,,20161025,,20161107,No,20161110,Yes,,,,20161110A,11B,20170120,H01,Cy,Yes,201161110A,B11,20170130,F5,Cy
F16-143,Cy,,,,20161025,,20161107,No,20161110,Yes,,,,20161110A,11C,20170120,H02,Cy,Yes,201161110A,C11,20170130,G5,Cy
F16-144b,,,,,20170205,,2170205,No,,,,,,,,,,,No,,,,,
F16-145,Cy,,,,20161025,,20161107,No,20161110,Yes,20170127,Yes,,20161110A,12E,20170120,H03,Cy,Yes,20170127C,D9,20170130,H5,Cy
F16-146,Gf,,,,20161025,,20161107,Yes,,,,,,20161107A,1H,20170120,A04,Gf,Yes,,,,,
F16-147,Gf,,,,20161025,,20161107,Yes,,,,,,20161107A,4A,20170120,A05,Gf,Yes,,,,,
F16-148,Gf,,,,20161025,,20161107,No,20161110,Yes,20170127,Yes,,20161110A,11F,20170120,A06,Gf,Yes,,,,,
F16-149,Gf,,,,20161025,,20161107,Yes,,,,,,20161107A,3C,20170120,B04,Gf,Yes,,,,,
F16-150,Gf,,,,20161025,,20161107,Yes,,,,,,20161107A,3D,20170120,B05,Gf,Yes,,,,,
F16-151,Gf,,,,20161025,,20161107,No,20161110,Yes,,,,20161110A,11G,20170120,B06,Gf,Yes,201161110A,G11,20170130,A6,Gf
F16-152,Gf,,,,20161025,,20161107,No,20161110,Yes,,,,20161110B,2A?,20170120,C04,Gf,Yes,20161110B,A1,20170130,B6,Gf
F16-153,Gf,,,,20161025,,20161107,No,20161110,Yes,,,,20161110B,1B,20170120,C05,Gf,Yes,20161110B,B1,20170130,C6,Gf
F16-154,Gf,,,,20161025,,20161107,No,20161110,Yes,20170127,Yes,,20161110B,1C,20170120,C06,Gf,Yes,20170127C,F10,20170130,D6,Gf
F16-155,Gf,,,,20161025,,20161107,Yes,,,,,,20161107A,5A,20170120,D04,Gf,Yes,,,,,
F16-156,Gf,,,,20161025,,20161107,Yes,,,,,,20161107A,5B,20170120,D05,Gf,Yes,,,,,
F16-157,Gf,,,,20161025,,20161107,Yes,20170127,Yes,,,,20161107A,5C,20170120,D06,Gf,Yes,,,,,
F16-158,Gf,,,,20161025,,20161107,Yes,,,,,,20161107A,5D,20170120,E04,Gf,Yes,,,,,
F16-159,Gf,,,,20161025,,20161107,No,20170127,Yes,,,,20170127A,A11,20170130,E6,Gf,Yes,,,,,
F16-160,Gf,,,,20161025,,20161107,Yes,,,,,,20161107A,5F,20170120,E05,Gf,Yes,,,,,
F16-161,Gf,,,,20161025,,20161107,Yes,20170127,Yes,,,,20161107A,5G,20170120,E06,Gf,Yes,,,,,
F16-162b,Mixed,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,A5,20170207,A10,Mixed
F16-163,Mixed-Gf,,,,20161025,,20161107,No,20161110,No,20170202,Yes,,,,,,,No,20170202A,G6,20170207,D6,Mixed-Gf
F16-164,Gf,,,,20161027,,20161107,No,20161110,Yes,,,,20161110B,G1,20170130,F6,Gf,Yes,,,,,
F16-165,Gf,,,,20161027,,20161107,No,20161110,Yes,,,,20161110B,H1,20170130,G6,Gf,Yes,,,,,
F16-166,Gf,,,,20161027,,20161107,Yes,20170127,Yes,,,,20161107A,7D,20170120,F04,Gf,Yes,,,,,
F16-167,Gf,,,,20161027,,20161107,No,20161110,No,20170202,Yes,,,,,,,No,20170202A,H5,20170207,E6,Gf
F16-168,Gf,,,,20161027,,20161107,Yes,,,,,,20161107A,7F,20170120,F05,Gf,Yes,,,,,
F16-169,Gf,,,,20161027,,20161107,Yes,,,,,,20161107A,7G,20170120,F06,Gf,Yes,,,,,
F16-170,Gf,,,,20161027,,20161107,Yes,,,,,,20161107A,7H,20170120,G04,Gf,Yes,,,,,
F16-171,Gf,,,,20161027,,20161107,Yes,,,,,,20161107A,9A,20170120,G05,Gf,Yes,,,,,
F16-172,Gf,,,,20161027,,20161107,No,20161110,Yes,20170127,Yes,,20170127A,C11,20170130,H6,Gf,Yes,,,,,
F16-173,Gf,,,,20161027,,20161107,Yes,20170127,Yes,,,,20161107A,9C,20170120,G06,Gf,Yes,,,,,
F16-174,Cy,,,,20161027,,20161107,No,20161110,No,20170127,Yes,,,,,,,No,20170127A,D11,20170207,B4,Cy
F16-175,,,,,20161027,,20161107,Yes,,,,,,,,,,,No,,,,,
F16-176,Miss-Dg,,,,20161027,,20161107,Yes,20170127,Yes,,,,20161107A,9F,20170120_Fail,H04,Fail,Yes,20170127A,E11,20170130,B7,Miss-Dg
F16-177,Gf,,,,20161027,,20161107,No,20161110,Yes,,,,20161110B,D3,20170130,C7,Gf,Yes,,,,,
F16-178,Cy,,,,20161027,,20161107,No,20161110,Yes,20170127,Yes,,20170127A,F11,20170130,D7,Cy,Yes,,,,,
F16-179,Cy,,,,20161027,,20161107,Yes,,,,,,20161107A,11A,20170120,H05,Cy,Yes,,,,,
F16-180,Gf,,,,20161027,,20161107,Yes,,,,,,20161107A,11B,20170120,H06,Gf,Yes,,,,,
F16-181b,Mixed,,,,20170205,,2170205,Yes,,,,,,,,,,,No,20170205,C6,20170207,B10,Mixed
F16-182,Mixed-Gf,,,,20161027,,20161107,No,20170202,Yes,,,,,,,,,No,20170202A,H8,20170207,F6,Mixed-Gf
F16-183,Miss-Bc,,,,20161027,,20161107,No,20161110,No,20170202,Yes,,,,,,,No,20170202A,G7,20170207,G6,Bc
F16-184,Gf,,,,20161027,,20161107,No,20161110,Yes,20170127,Yes,,20170127B,A1,20170130,E7,Gf,Yes,,,,,
F16-185,Gf,,,,20161027,,20161107,Yes,,,,,,20161107A,11G,20170120,A07,Gf,Yes,,,,,
F16-186,Miss-Sk,,,,20161027,,20161107,Yes,,,,,,20161107B,1A,20170120,A08,Miss-Sk,Yes,,,,,
F16-187,Gf,,,,20161027,,20161107,Yes,,,,,,20161107B,1B,20170120,A09,Gf,Yes,,,,,
F16-188,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,1C,20170120,B07,Gf,Yes,,,,,
F16-189,Cy,,,,20161028,,20161107,Yes,,,,,,20161107B,1D,20170120,B08,Cy,Yes,,,,,
F16-190,Cy,,,,20161028,,20161107,Yes,,,,,,20161107B,1E,20170120,B09,Cy,Yes,,,,,
F16-191b,,,,,20170205,,2170205,No,,,,,,,,,,,No,,,,,
F16-192,Cy,,,,20161028,,20161107,Yes,,,,,,20161107B,1G,20170120,C08,Cy,Yes,,,,,
F16-193,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,1H,20170120,C09,Gf,Yes,,,,,
F16-194,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,3A,20170120,D07,Gf,Yes,,,,,
F16-195,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,3B,20170120,D08,Gf,Yes,,,,,
F16-196,Gf,,,,20161028,,20161107,No,20161110,Yes,20170127,Yes,,20170127B,C1,20170130,F7,Gf,Yes,,,,,
F16-197,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,4D,20170120,D09,Gf,Yes,,,,,
F16-198,Gf,,,,20161028,,20161107,Yes,20170127,No,20170202,Yes,,20161107B,3E,20170120,E07,Gf,Yes,,,,,
F16-199b,,,,,20170205,,2170205,No,,,,,,,,,,,No,,,,,
F16-200,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,3G,20170120,E08,Gf,Yes,,,,,
F16-201,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,3H,20170120,E09,Gf,Yes,,,,,
F16-202,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,5A,20170120,F07,Gf,Yes,,,,,
F16-203,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,5B,20170120,F08,Gf,Yes,,,,,
F16-204,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,5C,20170120,F09,Gf,Yes,,,,,
F16-205,Cy,,,,20161028,,20161107,Yes,,,,,,20161107B,5D,20170120,G07,Cy,Yes,,,,,
F16-206,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,5E,20170120,G08,Gf,Yes,,,,,
F16-207,Cy,,,,20161028,,20161107,Yes,,,,,,20161107B,5F,20170120,G09,Cy,Yes,,,,,
F16-208,Gf,,,,20161028,,20161107,Yes,20170127,No,20170202,Yes,,,,,,,No,20170202A,E7,20170207,H6,Gf
F16-209,Gf,,,,20161028,,20161107,No,20161110,No,20170202,Yes,,,,,,,No,20170202A,F7,20170207,A7,Gf
F16-210,Gf,,,,20161028,,20161107,No,20161110,No,20170127,Yes,,,,,,,No,20170127B,F1,20170207,C4,Gf
F16-211,Gf,,,,20161028,,20161107,Yes,,,,,,20161107B,7B,20170120,H07,Gf,Yes,,,,,
F16-212,Gf,,,,20161104,,20161107,Yes,,,,,,20161107B,7C,20170120,H08,Gf,Yes,,,,,
F16-213b,Gf,,,,,,20161226,Yes,20170127,Yes,,,,20170127C,F3,20170130,G7,Gf,Yes,,,,,
F16-214b,,,,,,,20161226,Yes,20170127,No,20170202,No,,,,,,,No,,,,,
F16-215b,Gf,,,,,,20161226,Yes,20170127,Yes,,,,20170127B,G1,20170130,H7,Gf,Yes,,,,,
F16-216b,Gf,,,,,,20161226,Yes,20170127,Yes,,,,20170127C,H4,20170130,A8,Gf,Yes,,,,,
F16-217b,Gf,,,,,,20161226,No,20170127,Yes,,,,20170127C,A5,20170130,B8,Gf,Yes,,,,,
F16-218b,Gf,,,,,,20161226,No,20170127,Yes,,,,,,,,,No,20170127B,H1,20170207,D4,Gf
F16-219,Gf,,,,20161104,,20161107,Yes,,,,,,20161107B,9B,20170120,B11,Gf,Yes,,,,,
F16-220,Gf,,,,20161104,,20161107,Yes,20170127,Yes,,,,20161107B,9C,20170120_Fail,B12,Fail,Yes,20170127B,A3,20170130,C8,Gf
F16-221,Cy,,,,20161104,,20161107,Yes,,,,,,20161107B,9D,20170120,C10,Cy,Yes,,,,,
F16-222,Gf,,,,20161104,,20161107,Yes,,,,,,20161107B,10E,20170120,C11,Gf,Yes,,,,,
F16-223,Miss-Dg,,,,20161104,,20161107,Yes,,,,,,20161107B,9F,20170120,C12,Miss-Dg,Yes,,,,,
F16-224,Gf,,,,20161104,,20161107,Yes,,,,,,20161107B,9G,20170120,D10,Gf,Yes,,,,,
F16-225,Cy,,,,20161104,,20161107,Yes,,,,,,20161107B,9H,20170120,D11,Cy,Yes,,,,,
F16-226,Cy,,,,20161104,,20161107,Yes,20170127,Yes,,,,20161107B,11A,20170120_Fail,D12,Fail,Yes,20170127B,B4,20170130,D8,Cy
F16-227,Gf,,,,20161104,,20161107,Yes,,,,,,20161107B,11B,20170120,E10,Gf,Yes,,,,,
